#,Quantity,DIST P/N,Name,RefDes
1,1,ANT340-1,ANT340-1,ANT1
2,13,842AS235,CAP104-25V-0805,C1) C3-C9) C12) C18) C24-C26
3,2,C3216X5R1V226M160AC,CAP226-35V-1206,C2) C19
4,1,478-5153-2-ND,CAP06.8-100V-0805,C10
5,2,311-1089-2-ND,CAP01.5-50V-0805,C11) C14
6,1,PCC1819TR-ND,CAP393-25V-0805,C13
7,1,,CAP225-10V-0805,C15
8,2,,CAP-0805,C16) C17
9,1,CAP476-6.3V-1206,CAP476-6.3V-1206,C20
10,2,CAP476-25V-1206,CAP476-25V-1206,C21) C22
11,1,CAP121-50V-0805,CAP121-50V-0805,C23
12,3,497-2454-2-ND,FM4001,D1) D2) D3
13,3,,BAW56,D4) D5) D6
14,1,1N5819HW,1N5819HW,D7
15,2,,1mmP 2mmC,FID1) FID2
16,1,---,B3B-XH-A,J1
17,1,<DIST P/N HERE>,PH 4P 0.156,J2
18,1,<DIST P/N HERE>,hdr1x2,J3
19,1,0E-0805,0E-0805,J4
20,1,,JUMPER,JP1
21,2,<DIST P/N HERE>,JMP(59.5)(250),JP2) JP3
22,5,GAMA STOCK,821P1AC12VDC,K1) K2) K3) K5) K6
23,1,,Relay K10P DPDT,K4
24,3,445-3613-1-ND,GLFR2012T4R7M-LR,L1) L2) L3
25,1,NR10050T330M,NR10050T330M,L4
26,1,M053SRUC,M053SRUC,LED1
27,1,RAC05-12SK,RAC05-12SK,MOD1
28,1,<DIST P/N HERE>,hdr1x5,PROGRAM1
29,1,,ESP-PROG Unshrouded,PROGRAM2
30,3,2N7002NTR-ND,2N7002,Q1) Q2) Q3
31,10,311-10KARTR-ND,10KE-0805,R1) R2) R3) R4) R5) R6) R7) R8) R9) R10
32,1,311-1.0KARTR-ND,1.0KE-0805,R11
33,1,311-330ARTR-ND,390E-0805,R12
34,3,311-47KARTR-ND,47KE-0805,R13) R14) R15
35,2,,RES-0805,R16) R17
36,1,0.22Q-1206,0.22Q-1206,R18
37,1,11.0KXE-0805,11.0KXE-0805,R19
38,1,18.0KXE-0805,18.0KXE-0805,R20
39,3,10.0KXE-0805,10.0KXE-0805,R21) R22) R23
40,1,688-SKPDAC,SKPDACD010,SW1
41,1,,SW DIP 7P,SW2
42,1,<DIST P/N HERE>,7258C (7 PIN),TB1
43,1,<DIST P/N HERE>,DT65B01W02 small pads,TB1A
44,1,,PIC16F631_SO,U1
45,1,,MICRF218,U2
46,1,,MC78L05ACHX,U3
47,1,,MICRF007,U4
48,1,MC33063ADR,MC33063ADR,U5
49,1,SN74LVC1G3157,SN74LVC1G3157,U6
50,1,ESP32-WROOM,ESP32-WROOM,U7
51,1,,10.591955M,X1
52,1,535-9089-2-ND,ABLS-14.27643,X2
53,1,,CRYSTALHC49UP,X3
